,customer_city,price,cumulative_sum,cumcut
3538,santo antonio das queimadas,84.99,13784207.030000305,0.9980795316534574
3539,cotegipe,84.99,13784292.020000305,0.9980856855641764
3540,nova esperanca do sudoeste,84.99,13784377.010000305,0.9980918394748955
3541,major porto,84.99,13784462.000000305,0.9980979933856146
3542,vila nova do sul,84.99,13784546.990000306,0.9981041472963336
3543,montadas,84.99,13784631.980000306,0.9981103012070527
3544,janduis,84.99,13784716.970000306,0.9981164551177717
3545,entre folhas,84.99,13784801.960000306,0.9981226090284907
3546,lagoa do piaui,84.99,13784886.950000307,0.9981287629392098
3547,perola independente,84.9,13784971.850000307,0.9981349103332567
3548,santa brigida,84.9,13785056.750000307,0.9981410577273037
3549,serra branca,84.9,13785141.650000308,0.9981472051213506
3550,itaguaru,84.89,13785226.540000308,0.9981533517913228
3551,guarda-mor,83.9,13785310.440000309,0.9981594267779016
3552,senador salgado filho,83.8,13785394.24000031,0.9981654945237335
3553,turvania,83.7,13785477.940000309,0.9981715550288186
3554,ouro verde de goias,82.9,13785560.840000309,0.9981775576079291
3555,tres forquilhas,82.8,13785643.64000031,0.998183552946293
3556,riachinho,82.34,13785725.98000031,0.9981895149772214
3557,santa salete,81.99,13785807.97000031,0.9981954516655359
3558,pedra branca,81.88,13785889.85000031,0.9982013803890291
3559,candido rodrigues,81.78999999999999,13785971.64000031,0.9982073025958499
3560,assare,81.0,13786052.64000031,0.998213167600771
3561,barrolandia,80.99,13786133.63000031,0.9982190318816173
3562,piata,80.97999999999999,13786214.61000031,0.9982248954383891
3563,bias fortes,80.9,13786295.51000031,0.9982307532025634
3564,ouro verde de minas,80.78999999999999,13786376.30000031,0.9982366030019161
3565,perobal,80.0,13786456.30000031,0.9982423955993689
3566,monte alegre de sergipe,80.0,13786536.30000031,0.9982481881968218
3567,assuncao,80.0,13786616.30000031,0.9982539807942747
3568,frutuoso gomes,79.99,13786696.29000031,0.998259772667653
3569,cha de alegria,79.99,13786776.28000031,0.9982655645410312
3570,nossa senhora de lourdes,79.99,13786856.27000031,0.9982713564144094
3571,ewbank da camara,79.99,13786936.26000031,0.9982771482877877
3572,iaras,79.99,13787016.250000311,0.9982829401611659
3573,coronel freitas,79.99,13787096.240000311,0.9982887320345442
3574,barao do triunfo,79.99,13787176.230000312,0.9982945239079224
3575,materlandia,79.98,13787256.210000312,0.9983003150572259
3576,monte belo do sul,79.98,13787336.190000312,0.9983061062065296
3577,vargem grande,79.9,13787416.090000313,0.9983118915632356
3578,paraju,79.9,13787495.990000313,0.9983176769199418
3579,rio dos indios,79.9,13787575.890000314,0.9983234622766479
3580,andarai,79.9,13787655.790000314,0.9983292476333541
3581,santa luzia do parua,79.9,13787735.690000314,0.9983350329900601
3582,querencia do norte,79.9,13787815.590000315,0.9983408183467662
3583,dezesseis de novembro,79.9,13787895.490000315,0.9983466037034724
3584,ponto belo,79.9,13787975.390000315,0.9983523890601784
3585,olaria,79.9,13788055.290000316,0.9983581744168846
3586,novo lino,79.9,13788135.190000316,0.9983639597735907
3587,ubirajara,79.9,13788215.090000317,0.9983697451302969
3588,filadelfia,79.9,13788294.990000317,0.9983755304870029
3589,campo azul,79.9,13788374.890000317,0.998381315843709
3590,santana da boa vista,79.89,13788454.780000318,0.9983871004763405
3591,elisio medrado,79.82,13788534.600000318,0.9983928800404491
3592,praia norte,79.0,13788613.600000318,0.9983986002304339
3593,rincao,79.0,13788692.600000318,0.9984043204204186
3594,santa rita da floresta,79.0,13788771.600000318,0.9984100406104034
3595,teresina de goias,79.0,13788850.600000318,0.9984157608003881
3596,nantes,79.0,13788929.600000318,0.9984214809903729
3597,sao joaquim do monte,79.0,13789008.600000318,0.9984272011803577
3598,banabuiu,79.0,13789087.600000318,0.9984329213703423
3599,divinopolis de goias,79.0,13789166.600000318,0.9984386415603271
3600,vargem,78.8,13789245.400000319,0.9984443472688183
3601,aurora do para,78.0,13789323.400000319,0.9984499950513348
3602,almas,78.0,13789401.400000319,0.9984556428338515
3603,inhuma,78.0,13789479.400000319,0.998461290616368
3604,sao jose do inhacora,77.99,13789557.39000032,0.9984669376748099
3605,santo antonio do aventureiro,77.99,13789635.38000032,0.9984725847332518
3606,cristinapolis,77.9,13789713.28000032,0.9984782252750216
3607,paripiranga,77.71000000000001,13789790.99000032,0.9984838520593725
3608,alagoa,77.68,13789868.67000032,0.9984894766714992
3609,juvenilia,77.47999999999999,13789946.15000032,0.9984950868021324
3610,suzanapolis,76.9,13790023.050000321,0.998500654936434
3611,augusto pestana,76.88,13790099.930000322,0.9985062216225864
3612,campo do brito,76.8,13790176.730000323,0.9985117825161411
3613,antonina do norte,76.8,13790253.530000323,0.998517343409696
3614,deodapolis,76.8,13790330.330000324,0.9985229043032509
3615,bras pires,76.8,13790407.130000325,0.9985284651968057
3616,brasilandia de minas,76.25,13790483.380000325,0.998533986266253
3617,aracatu,75.99,13790559.370000325,0.9985394885097586
3618,ibateguara,75.9,13790635.270000326,0.9985449842365921
3619,unistalda,75.8,13790711.070000326,0.9985504727226787
3620,pirapo,75.27,13790786.340000326,0.9985559228328073
3621,nova guataporanga,75.0,13790861.340000326,0.9985613533929193
3622,jerico,75.0,13790936.340000326,0.9985667839530314
3623,felixlandia,75.0,13791011.340000326,0.9985722145131435
3624,jaraguari,75.0,13791086.340000326,0.9985776450732556
3625,guatapara,75.0,13791161.340000326,0.9985830756333677
3626,vargem alegre,74.99,13791236.330000326,0.9985885054694051
3627,dom cavati,74.99,13791311.320000326,0.9985939353054426
3628,frei gaspar,74.9,13791386.220000327,0.9985993586248079
3629,lagoa dos tres cantos,74.9,13791461.120000327,0.9986047819441732
3630,cassia dos coqueiros,74.9,13791536.020000327,0.9986102052635385
3631,nacip raydan,74.9,13791610.920000328,0.9986156285829038
3632,porto acre,74.9,13791685.820000328,0.9986210519022691
3633,pedro ii,74.9,13791760.720000328,0.9986264752216344
3634,espigao,74.89,13791835.61000033,0.9986318978169251
3635,adustina,74.8,13791910.41000033,0.9986373138955436
3636,alto alegre do iguacu,74.69999999999999,13791985.11000033,0.9986427227334151
3637,adrianopolis,73.9,13792059.01000033,0.9986480736453123
3638,santo antonio do palma,73.89,13792132.90000033,0.9986534238331348
3639,joselandia,73.35,13792206.25000033,0.9986587349209244
3640,pedra do indaia,72.99,13792279.24000033,0.9986640199420255
